Time,AccX,AccY,AccZ,GyrX,GyrY,GyrZ
1354,0.01,-0.01,1,0,0.01,0
1363,0.01,-0.01,1,0,0.01,0
1371,0.01,-0.01,1,0,0.01,0
1378,0.01,0,1,0,0.01,0
1386,0.01,0,1,0,0.01,0
1394,0.01,-0.01,1,0,0.01,0
1402,0.01,0,1,0,0,0
1410,0.01,-0.01,1,0,0,0
1418,0.01,-0.01,1,0,0.01,0
1425,0.01,0,1,0,0,0
1433,0.01,0,1,0,0.01,0
1441,0.01,0,1,0,0.01,0
1449,0.01,0,1,0,0.01,0
1457,0.01,0,1,0,0,0
1465,0.01,0,1,0,0,0
1473,0.06,0.02,1.01,0,-0.01,0.13
1480,0.23,-0.06,1,0,-0.01,0.23
1489,0.09,-0.02,1,0,-0.01,0.24
1497,0.08,-0.01,1,0,0,0.26
1504,0.09,-0.01,1,0,0,0.29
1512,0.08,-0.01,1,0,0,0.31
1520,0.07,-0.01,1,0,0,0.33
1527,0.06,-0.01,1,0,0,0.33
1536,0.07,-0.01,1,0,0,0.3
1544,0.08,-0.01,1,0,0,0.28
1552,0.08,-0.01,1,0,0,0.24
1559,0.09,-0.01,1,0,0,0.22
1567,0.08,-0.01,1,0,0,0.19
1576,0.09,-0.01,1,0,0,0.18
1583,0.1,-0.01,1,0,0,0.17
1591,0.09,-0.02,1,0,0,0.17
1599,0.11,-0.02,1,0,0,0.17
1606,0.1,-0.02,1,0,0,0.17
1615,0.1,-0.01,1,0,0,0.18
1623,0.1,-0.01,1,0,0,0.17
1631,0.11,-0.01,1,0,0,0.17
1638,0.09,-0.01,1,0,0,0.17
1646,0.1,-0.01,1,0,0,0.17
1654,0.09,-0.01,1,0,0,0.15
1662,0.09,0,1,0,0,0.14
1670,0.1,0.01,1,0,0,0.12
1678,0.1,0,1,0,0,0.1
1685,0.11,0.01,1,0,0,0.08
1693,0.1,0,1,0,0,0.06
1702,0.11,0,1,0,0,0.05
1709,0.11,-0.01,1,0,0,0.04
1717,0.12,-0.01,1,0,0,0.03
1725,0.13,-0.01,1,0,-0.01,0.03
1732,0.12,-0.01,1,0,-0.01,0.02
1740,0.14,-0.01,1,0,-0.01,0.03
1749,0.14,-0.01,1,0,-0.01,0.03
1757,0.13,-0.01,1,0,-0.01,0.04
1764,0.14,-0.01,1,0,-0.01,0.04
1772,0.13,-0.01,1,0,-0.01,0.04
1780,0.14,-0.01,1,0,0,0.04
1788,0.12,-0.01,1,0,0,0.03
1796,0.11,-0.01,1,-0.01,0,0.02
1804,0.1,0,1,-0.01,-0.01,0
1811,0.1,0,1,-0.01,-0.01,-0.02
1819,0.11,0.01,1,-0.01,0,-0.04
1827,0.13,0.01,1,-0.01,0.01,-0.06
1836,0.13,0.01,1,-0.01,0.01,-0.07
1843,0.13,0.01,1,-0.01,0.01,-0.05
1851,0.12,0,1,-0.01,0.01,-0.05
1859,0.12,-0.01,1,-0.01,0.01,-0.05
1866,0.13,-0.02,1,-0.01,0.01,-0.05
1875,0.12,-0.02,1,-0.01,0.02,-0.06
1883,0.11,-0.02,1,0,0.02,-0.07
1890,0.12,-0.02,1,0,0.02,-0.07
1898,0.12,-0.01,1.01,0,0.01,-0.08
1906,0.12,0,1,-0.01,0.01,-0.08
1915,0.11,0,1.01,-0.01,0,-0.08
1922,0.1,0,1,-0.01,0,-0.09
1930,0.11,-0.01,1,-0.01,0,-0.09
1938,0.1,-0.01,1,-0.01,0,-0.08
1945,0.09,-0.02,1,0,0,-0.08
1953,0.09,-0.02,1.01,0,-0.01,-0.1
1962,0.09,-0.03,1,0,-0.01,-0.11
1970,0.08,-0.02,1.01,0,-0.01,-0.13
1977,0.06,-0.01,0.99,0,0,-0.14
1985,0.08,-0.01,1,-0.01,0,-0.15
1993,0.07,0,1,-0.01,0.01,-0.16
2001,0.07,0,1,-0.01,0.01,-0.15
2009,0.09,0,0.99,-0.02,0.02,-0.14
2017,0.07,0,1,-0.02,0.03,-0.14
2025,0.06,-0.01,1,-0.02,0.03,-0.14
2032,0.07,-0.01,1,-0.02,0.03,-0.14
2040,0.05,-0.01,1,-0.02,0.03,-0.15
